name_ar,category,full_address,phone_number,website,rating,plus_code,opening_times,opening_status,price_range,city_ar,region_ar,latitude,longitude,google_maps_url
مجالات التميز للاستقدام,جهة توظيف,"Dist, 2884 طريق الملك عبدالعزيز، المنتزه، سيهات‎ 32452",058 364 6339,N/A,4.2,F2RP+VW,"{""الأحد"": ""١٠:٠٠ص–١١:٣٠م""}",مفتوح · يغلق عند الساعة ١١:٣٠ م,N/A,سيهات,المنطقة الشرقية,26.4921938,50.0373285,"https://www.google.com/maps/place/%D9%85%D8%AC%D8%A7%D9%84%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D9%85%D9%8A%D8%B2+%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D9%82%D8%AF%D8%A7%D9%85%E2%80%AD/@26.4921938,50.0373285,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffe29a8f25dd:0xe4751a079d3d6c37!8m2!3d26.4921938!4d50.0373285!16s%2Fg%2F11yrhwp40y?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مكتب بحار العالم للاسقدام,جهة توظيف,عمر بن عبد العزيز، حي النور، سيهات‎ 32452,050 561 0083,N/A,4.7,F2MR+R2,"{""الأحد"": ""١٠:٣٠ص–٢:٠٠م٧:٠٠–٩:٣٠م""}",سيغلق قريبًا · عند الساعة ٢ م · يفتح مجددًا عند الساعة ٧ م,N/A,سيهات,المنطقة الشرقية,26.4845699,50.0400132,"https://www.google.com/maps/place/%D9%85%D9%83%D8%AA%D8%A8+%D8%A8%D8%AD%D8%A7%D8%B1+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85+%D9%84%D9%84%D8%A7%D8%B3%D9%82%D8%AF%D8%A7%D9%85%E2%80%AD/@26.4845699,50.0400132,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff826c065731:0x377697179806ef!8m2!3d26.4845699!4d50.0400132!16s%2Fg%2F11fjyx7dkh?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مكتب زكي الخليفة للاستقدام Zaki Alkhalifa Recruitment Office,جهة توظيف,شارع عمر بن عبدالعزيز، الديرة، سيهات‎ 31972,050 830 0554,N/A,3.9,F2PQ+W9,"{""الأحد"": ""٩:٠٠ص–١٢:٠٠م٤:٠٠–٩:٠٠م""}",مغلق · يفتح عند الساعة ٤ م,N/A,سيهات,المنطقة الشرقية,26.4873695,50.0384139,"https://www.google.com/maps/place/%D9%85%D9%83%D8%AA%D8%A8+%D8%B2%D9%83%D9%8A+%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D9%81%D8%A9+%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D9%82%D8%AF%D8%A7%D9%85+Zaki+Alkhalifa+Recruitment+Office%E2%80%AD/@26.4873695,50.0384139,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe35e8a21bb7:0xd5ac37f7193bb2e3!8m2!3d26.4873695!4d50.0384139!16s%2Fg%2F11c20971wl?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
شركة التهذيب للخدمات التعليمية,مؤسسة تعليمية,"Khaleej Rd, غرناطة، سيهات‎ 32434",013 333 6289,https://al-tahtheeb.com/,4.7,F3C4+PW,"{""الأحد"": ""٨:٠٠ص–٤:٠٠م""}",مفتوح · يغلق عند الساعة ٤ م,N/A,سيهات,المنطقة الشرقية,26.4718584,50.0573125,"https://www.google.com/maps/place/%D8%B4%D8%B1%D9%83%D8%A9+%D8%A7%D9%84%D8%AA%D9%87%D8%B0%D9%8A%D8%A8+%D9%84%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9%E2%80%AD/@26.4718584,50.0573125,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffbbda8b510d:0xf22e3496cd0c54f6!8m2!3d26.4718584!4d50.0573125!16s%2Fg%2F11qqwtbtky?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
شركة التهذيب للخدمات التعليمية,مؤسسة تعليمية,"Khaleej Rd, غرناطة، سيهات‎ 32434",013 333 6289,https://al-tahtheeb.com/,4.7,F3C4+PW,"{""الأحد"": ""٨:٠٠ص–٤:٠٠م""}",مفتوح · يغلق عند الساعة ٤ م,N/A,سيهات,المنطقة الشرقية,26.4718584,50.0573125,"https://www.google.com/maps/place/%D8%B4%D8%B1%D9%83%D8%A9+%D8%A7%D9%84%D8%AA%D9%87%D8%B0%D9%8A%D8%A8+%D9%84%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9%E2%80%AD/@26.4718584,50.0573125,16z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffbbda8b510d:0xf22e3496cd0c54f6!8m2!3d26.4718584!4d50.0573125!16s%2Fg%2F11qqwtbtky?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
Al Mutawa Group,المقاول,2698 - Al Khisab Dist SAYHAT - 32452 -7037، سيهات‎ 32452,013 856 1169,N/A,4.3,F2QP+G5,"{""الأحد"": ""٧:٠٠ص–٤:٠٠م""}",مفتوح · يغلق عند الساعة ٤ م,N/A,سيهات,المنطقة الشرقية,26.4888221,50.0354906,"https://www.google.com/maps/place/Al+Mutawa+Group/@26.4888221,50.0354906,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe34f3d4de01:0xab56b7c0a13e8928!8m2!3d26.4888221!4d50.0354906!16s%2Fg%2F119wqbrbs?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
شركة الموسوي للتجارة و المقاولات,مكتب الشركات,4649 الخامس عشر،، 8344، غرناطة، 8344، سيهات‎ 32434,013 850 7799,N/A,3.8,F2JW+9Q,"{""الأحد"": ""٨:٠٠ص–٣:٠٠م""}",مفتوح · يغلق عند الساعة ٣ م,N/A,سيهات,المنطقة الشرقية,26.4809949,50.0469665,"https://www.google.com/maps/place/%D8%B4%D8%B1%D9%83%D8%A9+%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%88%D9%8A+%D9%84%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9+%D9%88+%D8%A7%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%84%D8%A7%D8%AA%E2%80%AD/@26.4809949,50.0469665,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff394c3447b3:0x8dcb51fbacb9f569!8m2!3d26.4809949!4d50.0469665!16s%2Fg%2F11gdqtlqhn?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
شركة التوكيلات لخدمات السيارات,تصليح سيارات,الشارع الخامس عشر، الصناعية، سيهات‎ 32471,054 550 8181,https://agenciescenter.com/,4.2,F278+X7,"{""الأحد"": ""٨:٠٠ص–١٢:٠٠م١:٠٠–٧:٠٠م""}",مفتوح · يغلق عند الساعة ٧ م,N/A,سيهات,المنطقة الشرقية,26.4649429,50.0157089,"https://www.google.com/maps/place/%D8%B4%D8%B1%D9%83%D8%A9+%D8%A7%D9%84%D8%AA%D9%88%D9%83%D9%8A%D9%84%D8%A7%D8%AA+%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA%E2%80%AD/@26.4649429,50.0157089,17z/data=!3m1!4b1!4m6!3m5!1s0x3e3601de2f011a09:0xfe87ae7c5dc0d45d!8m2!3d26.4649429!4d50.0157089!16s%2Fg%2F11cltg6pzd?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
الكوثر للمياه,مورّد زجاجات المياه,شركة الكوثر العذبة لتعبئة المياه، الصناعية، سيهات‎ 32471,054 183 2495,https://alkawther-ksa.com/,4.6,F275+FQ,"{""الأحد"": ""٧:٠٠ص–٤:٠٠م""}",مفتوح · يغلق عند الساعة ٤ م,N/A,سيهات,المنطقة الشرقية,26.4637374,50.0093803,"https://www.google.com/maps/place/%D8%A7%D9%84%D9%83%D9%88%D8%AB%D8%B1+%D9%84%D9%84%D9%85%D9%8A%D8%A7%D9%87%E2%80%AD/@26.4637374,50.0093803,17z/data=!3m1!4b1!4m6!3m5!1s0x3e3601dcca334bdd:0xb1bf155dbfdeec7a!8m2!3d26.4637374!4d50.0093803!16s%2Fg%2F11ckky5627?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
الشركة الوطنية المتحدة للألبان,مكتب الشركات,F2R5+233، سيهات‎ 32462,013 518 1600,N/A,4.2,F2R5+233,"{""الأحد"": ""٧:١٥ص–٦:٣٠م""}",مفتوح · يغلق عند الساعة ٦:٣٠ م,N/A,سيهات,المنطقة الشرقية,26.490022,50.0076815,"https://www.google.com/maps/place/%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A9+%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9+%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9+%D9%84%D9%84%D8%A3%D9%84%D8%A8%D8%A7%D9%86%E2%80%AD/@26.490022,50.0076815,17z/data=!3m1!4b1!4m6!3m5!1s0x3e36003016343385:0x7cb0744add8f2d5a!8m2!3d26.490022!4d50.0076815!16s%2Fg%2F11fzz72ww9?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
